name,artist,id,url
18 Months,Calvin Harris,7w19PFbxAjwZ7UVNp9z0uT,https://open.spotify.com/album/7w19PFbxAjwZ7UVNp9z0uT
Blood Hunter,Varien,0BR7CcANAjtdfMNThMk2Ip,https://open.spotify.com/album/0BR7CcANAjtdfMNThMk2Ip
Drink the Sea,The Glitch Mob,4c5fhgLoAaFzwjNTxC57jK,https://open.spotify.com/album/4c5fhgLoAaFzwjNTxC57jK
F Minor Factory - EP,MUZZ,7zAFs2GGFrVOj1YsBDrGLN,https://open.spotify.com/album/7zAFs2GGFrVOj1YsBDrGLN
Falling into Focus (Live 2020),Bob Moses,0N1KUVKv32c0QdvcVfGExE,https://open.spotify.com/album/0N1KUVKv32c0QdvcVfGExE
Ghosts 'n' Stuff (feat. Rob Swire) (feat. Rob Swire),deadmau5,1BEiMHtZHylizLQfN2fz7p,https://open.spotify.com/album/1BEiMHtZHylizLQfN2fz7p
Hold Your Colour,Pendulum,4FAfNNU21dqtKKhHWB2eOa,https://open.spotify.com/album/4FAfNNU21dqtKKhHWB2eOa
Immersion,Pendulum,3XtEGVx9uh7J46nBzEc1VS,https://open.spotify.com/album/3XtEGVx9uh7J46nBzEc1VS
In Silico,Pendulum,6eRDE48ttoLqN2VfkEpPOJ,https://open.spotify.com/album/6eRDE48ttoLqN2VfkEpPOJ
Insane,Synymata,5xoSKf8rW8EygeWnCllySP,https://open.spotify.com/album/5xoSKf8rW8EygeWnCllySP
Interplanetary,West Klintwood,5UyI5VgYTFScNP07iRjrRH,https://open.spotify.com/album/5UyI5VgYTFScNP07iRjrRH
JADE,Devault,1MIgd23QGGcqzysbQJquUu,https://open.spotify.com/album/1MIgd23QGGcqzysbQJquUu
Love Death Immortality,The Glitch Mob,1g03ut9FlCdvFbOcSvUxjs,https://open.spotify.com/album/1g03ut9FlCdvFbOcSvUxjs
No Time To Die,Billie Eilish,5sXSHscDjBez8VF20cSyad,https://open.spotify.com/album/5sXSHscDjBez8VF20cSyad
Nothing For Free,Pendulum,2C5pOup7ksQ7YFutOlP6nA,https://open.spotify.com/album/2C5pOup7ksQ7YFutOlP6nA
Rage Valley,Knife Party,2KZKR8bLDZPUxOE6JhTh4X,https://open.spotify.com/album/2KZKR8bLDZPUxOE6JhTh4X
Ruby EP,Devault,6yEEISXxFOhyolnOLu8j5k,https://open.spotify.com/album/6yEEISXxFOhyolnOLu8j5k
THE HIVE,KLOUD,3H7HxZxy9SvOtxMey4LRnP,https://open.spotify.com/album/3H7HxZxy9SvOtxMey4LRnP
Time and Time Again,Bob Moses,1WkSp0mjBHyipV2iuE2B5x,https://open.spotify.com/album/1WkSp0mjBHyipV2iuE2B5x
