# Discover Weekly 11/18/18, By dunce, https://open.spotify.com/playlist/2DJOtMJ4yM4zcnAx5Hm4lt
title,album,artist,id,url
Always Let You Stop,Always Let You Stop,"Dylan Tallchief, Crow",6g9Tzd52V8LJy9LsON1cFb,https://open.spotify.com/track/6g9Tzd52V8LJy9LsON1cFb
Anywhere You Go (MRVLZ Remix) [feat. Timmy Trumpet],Anywhere You Go (MRVLZ Remix) [feat. Timmy Trumpet],"NERVO, MRVLZ, Timmy Trumpet",0jUzyTCtW5KcFrOHElSCtw,https://open.spotify.com/track/0jUzyTCtW5KcFrOHElSCtw
Bow to the Throne,Going All the Way,Magic Hats,2gqr9qKSKHPIjNujzTP2eb,https://open.spotify.com/track/2gqr9qKSKHPIjNujzTP2eb
Demons,Walk Her Way / Demons,"T & Sugah, Voicians",2m9oMX34OOMKxxkWhyRd1b,https://open.spotify.com/track/2m9oMX34OOMKxxkWhyRd1b
Desolation,Desolation,Slooze,2IGrj4JV5KKRmFexl1Dxdf,https://open.spotify.com/track/2IGrj4JV5KKRmFexl1Dxdf
Discover Love - Zack Martino & Ben Walter Remix,Discover Love (Remixes),"Ryos, Envy Monroe, Zack Martino, Ben Walter",3PTLYULuToLQyllA8ryz7l,https://open.spotify.com/track/3PTLYULuToLQyllA8ryz7l
Gave it All (Prismo Remix),Gave It All (Prismo Remix),"Satellite Mode, Prismo",6JiMUOOLnn0ulGqzCwb6p8,https://open.spotify.com/track/6JiMUOOLnn0ulGqzCwb6p8
Glad,Glad,"Wasback, Elle Vee",3IzpyeTNp8u6X8KerHlHZs,https://open.spotify.com/track/3IzpyeTNp8u6X8KerHlHZs
Glory,Glory,Minno,3gfCl0nxITp7Bdc8wxyWx1,https://open.spotify.com/track/3gfCl0nxITp7Bdc8wxyWx1
Granite,Reject,Shirobon,6jZ9QSPVp7BLJqYKuaF4tk,https://open.spotify.com/track/6jZ9QSPVp7BLJqYKuaF4tk
Horizon,Horizon EP (Streaming Version),Tantrum Desire,6PPhdUFoL8aQ6bLGyTFSJU,https://open.spotify.com/track/6PPhdUFoL8aQ6bLGyTFSJU
Imagine - Thoreau Remix,Imagine (Thoreau Remix),"Bronze Whale, Popeska, Tom Aspaul, Thoreau",5bPmXaAT2kDuTPdCrUapqX,https://open.spotify.com/track/5bPmXaAT2kDuTPdCrUapqX
Junglerok,Junglerok,Dimibo,07eRuPtDsnlhx7tnc9TnDO,https://open.spotify.com/track/07eRuPtDsnlhx7tnc9TnDO
Mountains,Mountains,"Ether, Progley",19ZelJZGJeoBnIL3PDngsu,https://open.spotify.com/track/19ZelJZGJeoBnIL3PDngsu
Moving On,Salt,"sober rob, Karra",2ppCZTcNxbpY8RTPHPJt5n,https://open.spotify.com/track/2ppCZTcNxbpY8RTPHPJt5n
Multiverse,Multiverse,"1788-L, 4AM",1uv0c8dDLoSMDlGNU2psja,https://open.spotify.com/track/1uv0c8dDLoSMDlGNU2psja
Nine Roses,Nine Roses,Wiguez,6XG2m3rMJLX0DeVJp50FWy,https://open.spotify.com/track/6XG2m3rMJLX0DeVJp50FWy
Obey,Dead By Dawn,Maximum Love,3QZ7hAZYxYuQUwyyW4bVmO,https://open.spotify.com/track/3QZ7hAZYxYuQUwyyW4bVmO
Origin,Origin,Far Out,2V1f777d2EUbF3FvxHPIUS,https://open.spotify.com/track/2V1f777d2EUbF3FvxHPIUS
Ready Set Go,Ready Set Go,"Insan3lik3, Rob Gasser, Chuck New",4I1TmJq4WPIVn6dvPAgULa,https://open.spotify.com/track/4I1TmJq4WPIVn6dvPAgULa
Return - Original Mix,Return,M.A.D.E.S,6JS1zboZEMNJbfeJIfSzNU,https://open.spotify.com/track/6JS1zboZEMNJbfeJIfSzNU
Revival,Revival,Aether,0EKR16pFsOKRmo5oYKKB7m,https://open.spotify.com/track/0EKR16pFsOKRmo5oYKKB7m
Run Away - Leon Clarke Remix,Run Away,"Future Skyline, Leon Clarke",1mpe9MpdDdaSUxb8sTarNZ,https://open.spotify.com/track/1mpe9MpdDdaSUxb8sTarNZ
Scars (Ft. Haley Midzor),Idonthaveasound,yh,6hTNhxqMA9Z1jGLUUl53cK,https://open.spotify.com/track/6hTNhxqMA9Z1jGLUUl53cK
The Program,Night Fighters EP,"Whales, Omri",1HYbRFQeJ2sP0TiEoS2Ajw,https://open.spotify.com/track/1HYbRFQeJ2sP0TiEoS2Ajw
Under Electric Skies - Olly James Remix,Under Electric Skies,"Nytrix, Olly James",16lYC239u8qubNiTgdQFCS,https://open.spotify.com/track/16lYC239u8qubNiTgdQFCS
Voice from Darkness,Voice from Darkness,DG812,7brgePnXFaFjmxAnAesAgb,https://open.spotify.com/track/7brgePnXFaFjmxAnAesAgb
Voyager (feat. Ashley Apollodor),Voyager (feat. Ashley Apollodor),"MEJKO, Synktra, Ashley Apollodor",46Qv7Iaig5KjWcVi2F2Dn1,https://open.spotify.com/track/46Qv7Iaig5KjWcVi2F2Dn1
Waking Up The Dead (feat. Elle Vee),Waking Up The Dead (feat. Elle Vee),"TWO OWLS, Elle Vee",5WEKCOOxramOHuPdtiXhBh,https://open.spotify.com/track/5WEKCOOxramOHuPdtiXhBh
Wildfire - Mielo Remix,Wildfire (Remixes),"Slow Magic, Mielo",1Pznc1bQCiIvRVwRz7gKTG,https://open.spotify.com/track/1Pznc1bQCiIvRVwRz7gKTG
